"filename", "language", "CSS", "JavaScript", "XML", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"d:\code\myProject\pick_and_go_project\client\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 33, 71
"d:\code\myProject\pick_and_go_project\client\package-lock.json", "JSON", 0, 0, 0, 17987, 0, 0, 0, 1, 17988
"d:\code\myProject\pick_and_go_project\client\package.json", "JSON", 0, 0, 0, 41, 0, 0, 0, 1, 42
"d:\code\myProject\pick_and_go_project\client\public\env.js", "JavaScript", 0, 83, 0, 0, 0, 0, 0, 0, 83
"d:\code\myProject\pick_and_go_project\client\public\index.html", "HTML", 0, 0, 0, 0, 0, 36, 10, 1, 47
"d:\code\myProject\pick_and_go_project\client\src\App.css", "CSS", 89, 0, 0, 0, 0, 0, 0, 21, 110
"d:\code\myProject\pick_and_go_project\client\src\App.js", "JavaScript", 0, 127, 0, 0, 0, 0, 0, 10, 137
"d:\code\myProject\pick_and_go_project\client\src\AppExample.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 3, 26
"d:\code\myProject\pick_and_go_project\client\src\components\btn\pageChoose.js", "JavaScript", 0, 68, 0, 0, 0, 0, 1, 4, 73
"d:\code\myProject\pick_and_go_project\client\src\components\card\siteCard.js", "JavaScript", 0, 118, 0, 0, 0, 0, 2, 8, 128
"d:\code\myProject\pick_and_go_project\client\src\components\card\tourCard.js", "JavaScript", 0, 138, 0, 0, 0, 0, 4, 11, 153
"d:\code\myProject\pick_and_go_project\client\src\components\card\tourSiteCard.js", "JavaScript", 0, 89, 0, 0, 0, 0, 0, 4, 93
"d:\code\myProject\pick_and_go_project\client\src\components\card\tourTableCard.js", "JavaScript", 0, 71, 0, 0, 0, 0, 2, 5, 78
"d:\code\myProject\pick_and_go_project\client\src\components\card\touristCard.js", "JavaScript", 0, 84, 0, 0, 0, 0, 4, 8, 96
"d:\code\myProject\pick_and_go_project\client\src\components\error\noAuth.js", "JavaScript", 0, 5, 0, 0, 0, 0, 1, 4, 10
"d:\code\myProject\pick_and_go_project\client\src\components\error\notFound.js", "JavaScript", 0, 19, 0, 0, 0, 0, 1, 4, 24
"d:\code\myProject\pick_and_go_project\client\src\components\modal\delete.js", "JavaScript", 0, 89, 0, 0, 0, 0, 4, 10, 103
"d:\code\myProject\pick_and_go_project\client\src\components\modal\participants.js", "JavaScript", 0, 102, 0, 0, 0, 0, 2, 8, 112
"d:\code\myProject\pick_and_go_project\client\src\components\modal\profile.js", "JavaScript", 0, 101, 0, 0, 0, 0, 2, 8, 111
"d:\code\myProject\pick_and_go_project\client\src\components\pages\public\Layout.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 3, 15
"d:\code\myProject\pick_and_go_project\client\src\components\pages\public\auth\googleLogin.js", "JavaScript", 0, 28, 0, 0, 0, 0, 1, 5, 34
"d:\code\myProject\pick_and_go_project\client\src\components\pages\public\auth\login.js", "JavaScript", 0, 105, 0, 0, 0, 0, 1, 9, 115
"d:\code\myProject\pick_and_go_project\client\src\components\pages\public\auth\signup.js", "JavaScript", 0, 137, 0, 0, 0, 0, 3, 12, 152
"d:\code\myProject\pick_and_go_project\client\src\components\pages\public\home.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 3, 8
"d:\code\myProject\pick_and_go_project\client\src\components\pages\public\navbar.js", "JavaScript", 0, 132, 0, 0, 0, 0, 0, 5, 137
"d:\code\myProject\pick_and_go_project\client\src\components\pages\public\sites\search_sites.js", "JavaScript", 0, 363, 0, 0, 0, 0, 8, 16, 387
"d:\code\myProject\pick_and_go_project\client\src\components\pages\public\sites\siteDetail.js", "JavaScript", 0, 193, 0, 0, 0, 0, 4, 16, 213
"d:\code\myProject\pick_and_go_project\client\src\components\pages\public\tours\search_tours.js", "JavaScript", 0, 137, 0, 0, 0, 0, 4, 11, 152
"d:\code\myProject\pick_and_go_project\client\src\components\pages\public\tours\tourDetail.js", "JavaScript", 0, 114, 0, 0, 0, 0, 7, 15, 136
"d:\code\myProject\pick_and_go_project\client\src\components\pages\users\MyPageLayout.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 3, 21
"d:\code\myProject\pick_and_go_project\client\src\components\pages\users\profile\editPassword.js", "JavaScript", 0, 93, 0, 0, 0, 0, 2, 9, 104
"d:\code\myProject\pick_and_go_project\client\src\components\pages\users\profile\editProfile.js", "JavaScript", 0, 157, 0, 0, 0, 0, 4, 9, 170
"d:\code\myProject\pick_and_go_project\client\src\components\pages\users\profile\myProfile.js", "JavaScript", 0, 105, 0, 0, 0, 0, 3, 7, 115
"d:\code\myProject\pick_and_go_project\client\src\components\pages\users\sidebar.js", "JavaScript", 0, 68, 0, 0, 0, 0, 0, 4, 72
"d:\code\myProject\pick_and_go_project\client\src\components\pages\users\site\addNewSite.js", "JavaScript", 0, 255, 0, 0, 0, 0, 7, 15, 277
"d:\code\myProject\pick_and_go_project\client\src\components\pages\users\site\editSite.js", "JavaScript", 0, 356, 0, 0, 0, 0, 16, 29, 401
