"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"d:\code\myProject\pick_and_go_project\server\index.js", "JavaScript", 0, 53, 2, 10, 65
"d:\code\myProject\pick_and_go_project\server\package-lock.json", "JSON", 2240, 0, 0, 1, 2241
"d:\code\myProject\pick_and_go_project\server\package.json", "JSON", 31, 0, 0, 1, 32
"d:\code\myProject\pick_and_go_project\server\src\config\email.js", "JavaScript", 0, 23, 0, 4, 27
"d:\code\myProject\pick_and_go_project\server\src\config\imgur.js", "JavaScript", 0, 8, 0, 3, 11
"d:\code\myProject\pick_and_go_project\server\src\config\passport.js", "JavaScript", 0, 69, 6, 7, 82
"d:\code\myProject\pick_and_go_project\server\src\config\redis.js", "JavaScript", 0, 10, 0, 3, 13
"d:\code\myProject\pick_and_go_project\server\src\controllers\validation.js", "JavaScript", 0, 154, 6, 14, 174
"d:\code\myProject\pick_and_go_project\server\src\models\collect-model.js", "JavaScript", 0, 7, 1, 4, 12
"d:\code\myProject\pick_and_go_project\server\src\models\index.js", "JavaScript", 0, 9, 0, 1, 10
"d:\code\myProject\pick_and_go_project\server\src\models\like-model.js", "JavaScript", 0, 7, 1, 4, 12
"d:\code\myProject\pick_and_go_project\server\src\models\site-model.js", "JavaScript", 0, 21, 0, 3, 24
"d:\code\myProject\pick_and_go_project\server\src\models\tour-model.js", "JavaScript", 0, 17, 0, 3, 20
"d:\code\myProject\pick_and_go_project\server\src\models\tourSite-model.js", "JavaScript", 0, 8, 0, 3, 11
"d:\code\myProject\pick_and_go_project\server\src\models\tourist-model.js", "JavaScript", 0, 8, 0, 3, 11
"d:\code\myProject\pick_and_go_project\server\src\models\user-model.js", "JavaScript", 0, 37, 5, 6, 48
"d:\code\myProject\pick_and_go_project\server\src\routes\index.js", "JavaScript", 0, 5, 0, 1, 6
"d:\code\myProject\pick_and_go_project\server\src\routes\sites.js", "JavaScript", 0, 802, 64, 88, 954
"d:\code\myProject\pick_and_go_project\server\src\routes\tours.js", "JavaScript", 0, 894, 87, 114, 1095
"d:\code\myProject\pick_and_go_project\server\src\routes\users.js", "JavaScript", 0, 219, 25, 34, 278
"d:\code\myProject\pick_and_go_project\server\test.js", "JavaScript", 0, 4, 0, 3, 7
"Total", "-", 2271, 2355, 197, 310, 5133
